name;sex;regency;father;mother;place
Pix Tazocepu;Male;Runic;Quza Saj;Heceq Tazocepu;Hilakugeno
Puz Saj;Female;Oracle;Hohevuquxe Saj;Bufoxen Saj;Hilakugeno
Jodi Rep;Male;Arcan;Zebadutiza Rep;Fiyuxakit Rep;Hilakugeno
Waqamum Saj;Male;Grunph;Tar Saj;Yehibofec Saj;Hilakugeno
Guticox Saj;Male;Wily;Xaje Saj;Jovor Rep;Hilakugeno
Nute Saj;Male;Oracle;Yohurez Qelimu;Lacubobitu Saj;Hilakugeno
Mizi Tazocepu;Female;Tamer;Cupif Saj;Xux Tazocepu;Hilakugeno
Desuquva Qelimu;Male;Tamer;Qeyoj Qelimu;Xiqi Tazocepu;Hilakugeno
Nad Tazocepu;Female;Runic;Sijuhaca Tazocepu;Javicesek Saj;Hilakugeno
Jutez Rep;Male;Tamer;Sike Rep;Vuc Saj;Hilakugeno
Povi Rep;Male;Summoner;Solop Tazocepu;Zubagavif Rep;Hilakugeno
Hoyi Saj;Female;Tamer;Takobu Tazocepu;Teric Saj;Hilakugeno
Bom Saj;Female;Tamer;Qov Saj;Qotofa Saj;Hilakugeno
Gelaqiho Rep;Female;Warrior;Celixe Rep;Hiqabo Qelimu;Hilakugeno
Vocubo Saj;Female;Wily;Yogawaxoya Saj;Xozusok Qelimu;Hilakugeno
Torajowapu Saj;Female;Summoner;Xoseto Saj;Lamadabu Tazocepu;Hilakugeno
Payiw Saj;Male;Summoner;Yiw Saj;Sesuwokulo Saj;Hilakugeno
Niwotavuwi Saj;Female;Summoner;Bequkiwa Tazocepu;Zubot Saj;Hilakugeno
Tobic Saj;Female;Runic;Modud Saj;Jurenupav Saj;Hilakugeno
Mipasaj Saj;Female;Wizard;Cupif Saj;Qevexaqe Saj;Hilakugeno
Vezi Rep;Male;Wizard;Yiqela Rep;Celixiho Saj;Hilakugeno
Niciveboda Saj;Female;Tamer;Vibacovoq Saj;Dazavamosa Tuhaq;Hilakugeno
Fugadahefe Saj;Female;Oracle;Yuz Tic;Niciveboda Saj;Hilakugeno
Jatokozow Saj;Male;Summoner;Viqaro Saj;Mewa Saj;Hilakugeno
Golihag Saj;Male;Summoner;Cuzoyapepo Saj;Lurocigiwi Rep;Hilakugeno
Lozotiliwu Tazocepu;Male;Wizard;Qaho Saj;Wehegalud Tazocepu;Hilakugeno
Lavajer Tazocepu;Female;Tamer;Vakanehapo Tazocepu;Jovor Rep;Hilakugeno
Bacewoyi Saj;Female;Tamer;Quza Saj;Leta Saj;Hilakugeno
Voxuyu Zuroq;Male;Oracle;Tawayut Zuroq;Fadusolo Saj;Hilakugeno
Duvime Tuhaq;Female;Wily;Muzosuhika Qelimu;Dazavamosa Tuhaq;Hilakugeno
Foho Tazocepu;Male;Illusionist;Zujufiyiy Tazocepu;Bayaqoc Nisosumi;Hilakugeno
Hakupona Saj;Female;Wizard;Macu Tazocepu;Vufehakaj Saj;Hilakugeno
Hid Rep;Female;Warrior;Jiba Saj;Pej Rep;Hilakugeno
Kogomoxigu Saj;Female;Warrior;Waqamum Saj;Ladajebay Saj;Hilakugeno
Yoticu Rep;Male;Wily;Zir Saj;Zup Rep;Hilakugeno
Xovazamuz Rep;Male;Wily;Quho Rep;Rije Saj;Hilakugeno
Hoc Rep;Male;Oracle;Sike Rep;Dul Tazocepu;Filemadevo
Nuga Saj;Female;Oracle;Huwabeqaze Saj;Nopa Saj;Filemadevo
Xusodicu Saj;Female;Tamer;Hob Saj;Tehojefap Rep;Xayejij
Mavumosevu Qelimu;Female;Tamer;Cigapep Tuhaq;Laselivo Qelimu;Xayejij
Wexizi Zuroq;Female;Wizard;Qatecaced Tiparo;Fola Zuroq;Xayejij
Citegiho Tazocepu;Female;Warrior;Worugac Tazocepu;Base Tazocepu;Depa
Lurocigiwi Rep;Female;Wizard;Tofabo Zuroq;Rigakij Rep;Depa
Kedot Vud;Female;Shooter;Yuwaf Yodates;Xifanoya Vud;Depa
Qupevefob Rep;Female;Illusionist;Vebedu Rep;Jovor Rep;Gebidi
Wazof Lihade;Male;Grunph;Gapex Nabudawiza;Nifava Lihade;Gebidi
Bufoxen Saj;Female;Oracle;Doqop Saj;Xavimocis Saj;Gebidi
Gavaxobap Saj;Female;Wizard;Jixoyiku Saj;Zubagavif Rep;Gebidi
Jaci Rep;Female;Wily;Vebedu Rep;Jovor Rep;Gebidi
Juze Tazocepu;Male;Oracle;Huyuyuv Tazocepu;Puyiduyi Rep;Gebidi
Zom Saj;Male;Wily;Royatitunu Saj;Najak Rep;Gebidi
Jakajunisa Rep;Female;Runic;Bofoxok Saj;Bizefifap Rep;Gebidi
Meseqowiye Rep;Male;Illusionist;Kiqi Saj;Najak Rep;Gebidi
Xoseto Saj;Male;Oracle;Fuz Saj;Gopixuji Saj;Duvahajoru
Nazup Rep;Female;Wizard;Qadi Rep;Hov Saj;Qajo
Vigoqec Saj;Male;Summoner;Jilapubuj Saj;Jaci Rep;Qajo
Wuxubomaz Saj;Male;Metaphisic;Xisaqolada Saj;Ziquxayam Saj;Qajo
Serib Tazocepu;Male;Grunph;Wikoja Tazocepu;Qotofa Saj;Fagokok
Teh Saj;Female;Summoner;Guyafi Saj;Mewa Saj;Fagokok
Kocejucuze Saj;Female;Metaphisic;Notuliv Saj;Hov Saj;Qunetola
Sowese Rep;Male;Metaphisic;Yimi Saj;Garodehifu Rep;Jifafu
Base Tazocepu;Female;Tamer;Pix Tazocepu;Lamadabu Tazocepu;Jifafu
Yekak Saj;Male;Shooter;Lozotiliwu Tazocepu;Cuju Saj;Jifafu
Wehegalud Tazocepu;Female;Arcan;Hegapukam Tazocepu;Dacalahef Zuroq;Jifafu
Gakivu Qelimu;Female;Shooter;Desuquva Qelimu;Hiqabo Qelimu;Jifafu
Hegapukam Tazocepu;Male;Shooter;Fibuceb Tazocepu;Dazavamosa Tuhaq;Jifafu
Nac Tiparo;Male;Metaphisic;Rovilopode Caye;Dahijuwuyu Tiparo;Jifafu
Weqerohuho Saj;Female;Wily;Nanefuho Saj;Toni Saj;Jifafu
Joyil Rep;Female;Warrior;Zeraqudaj Rep;Qawuwo Rep;Jifafu
Notuliv Saj;Male;Warrior;Yahoxutape Tiparo;Saratebol Saj;Jifafu
Siloha Saj;Male;Runic;Qov Saj;Garodehifu Rep;Jifafu
Cotafa Saj;Male;Oracle;Layefal Saj;Zudoyi Saj;Jifafu
Worugac Tazocepu;Male;Runic;Takobu Tazocepu;Bacewoyi Saj;Jifafu
Ziquxayam Saj;Female;Summoner;Koduw Saj;Qugepalu Saj;Jifafu
Zeraqudaj Rep;Male;Oracle;Zebadutiza Rep;Puyiduyi Rep;Jifafu
Zajegohu Saj;Male;Warrior;Gonezi Saj;Nazup Rep;Jifafu
Nar Saj;Male;Arcan;Torunab Saj;Leta Saj;Jiqize
Gut Saj;Female;Illusionist;Xisaqolada Saj;Nopa Saj;Jiqize
Royatitunu Saj;Male;Wily;Yiqela Rep;Veyeheh Saj;Jiqize
Yuqu Saj;Female;Oracle;Takobu Tazocepu;Dezaw Saj;Jiqize
Sici Tiparo;Female;Summoner;Qatecaced Tiparo;Titedazesu Saj;Ziy
Torunab Saj;Male;Illusionist;Dirijumu Saj;Jakuc Saj;Paginur
Xegu Tazocepu;Male;Illusionist;Foho Tazocepu;Fadusolo Saj;Paginur
Puyiduyi Rep;Female;Grunph;Wigeyibede Saj;Febujo Rep;Paginur
Zubagavif Rep;Female;Wizard;Royatitunu Saj;Qawuwo Rep;Paginur
Dolaxoqub Gabevorep;Male;Shooter;Fuqirabif Gabevorep;Zupoluyi Nexewud;Luboroyuvo
Yijay Saj;Male;Shooter;Nogeko Saj;Gopixuji Saj;Luboroyuvo
Jefodiyiv Saj;Female;Shooter;Xipip Saj;Zup Rep;Luboroyuvo
Rufivohi Saj;Male;Tamer;Rilabod Qelimu;Saratebol Saj;Luboroyuvo
Tidoxubi Yodates;Female;Oracle;Yuwaf Yodates;Vaxuvutoxo Lader;Luboroyuvo
Jakeyaqeqe Nisosumi;Female;Warrior;Foho Tazocepu;Fofewuwivi Nisosumi;Luboroyuvo
Vaqifanom Nisosumi;Female;Tamer;Kepopolado Lihade;Sogem Nisosumi;Luboroyuvo
Bofoxok Saj;Male;Warrior;Dahav Saj;Jovor Rep;Luboroyuvo
Vuc Saj;Female;Wizard;Xisaqolada Saj;Nopa Saj;Luboroyuvo
Jabujo Saj;Male;Wily;Vegiyuxe Saj;Waxunema Tiparo;Luboroyuvo
Jakuc Saj;Female;Metaphisic;Pup Saj;Qotofa Saj;Luboroyuvo
Zebadutiza Rep;Male;Runic;Zir Saj;Hid Rep;Luboroyuvo
Nayeture Saj;Male;Wily;Hajep Saj;Mavoc Saj;Huheluzat
Decu Saj;Female;Oracle;Cizopilelu Saj;Gavaxobap Saj;Huheluzat
Febujo Rep;Female;Warrior;Wamoyup Saj;Pej Rep;Huheluzat
Seh Nexewud;Male;Wizard;Maluh Nisosumi;Zupoluyi Nexewud;Huheluzat
Qevexaqe Saj;Female;Oracle;Jiba Saj;Kixo Saj;Huheluzat
Xapunised Tazocepu;Male;Wizard;Serib Tazocepu;Gegabi Saj;Huheluzat
Notecuned Rep;Female;Runic;Hejutinaxu Rep;Jifag Rep;Huheluzat
Fututu Tazocepu;Female;Oracle;Wohagoy Tazocepu;Rije Saj;Davidaji
Zipa Saj;Male;Illusionist;Togima Saj;Hov Saj;Davidaji
Wuziqoles Cafekaric;Male;Illusionist;Qaxuxe Tic;Lulisa Cafekaric;Davidaji
Rek Rep;Male;Tamer;Jijuwon Rep;Kedot Vud;Rilat
Jugeqise Rep;Male;Wily;Doqop Saj;Qupevefob Rep;Rilat
Lulisa Cafekaric;Female;Runic;Nipecu Mavumuye;Coc Cafekaric;Rilat
Cig Zuroq;Male;Arcan;Yuwaf Yodates;Cexuwaju Zuroq;Rilat
Nanefuho Saj;Male;Metaphisic;Wamoyup Saj;Hoyi Saj;Rilat
Pifon Tazocepu;Male;Metaphisic;Zujufiyiy Tazocepu;Qumuqihitu Saj;Rilat
Sule Saj;Female;Metaphisic;Gimulogoqi Saj;Fofewuwivi Nisosumi;Rilat
Toni Saj;Female;Wizard;Vopa Saj;Wiwaduvo Saj;Rilat
Cigapep Tuhaq;Male;Wizard;Lizah Cosu;Dazavamosa Tuhaq;Rilat
Raqotoh Rep;Male;Wizard;Macu Tazocepu;Qawuwo Rep;Rilat
Refogosos Saj;Male;Summoner;Qaho Saj;Titedazesu Saj;Rilat
Wey Rep;Male;Shooter;Pifon Tazocepu;Fosadoyut Rep;Rilat
Rubonuha Tazocepu;Male;Runic;Catuf Tazocepu;Yuqu Saj;Rilat
Foyo Rep;Female;Wily;Sike Rep;Vuc Saj;Rujipegor
Cuzon Zuroq;Male;Illusionist;Hah Zuroq;Huc Qelimu;Rujipegor
Najunoqito Titez;Male;Wily;Kovuvevac Buyeb;Yakavede Titez;Rujipegor
Lamadabu Tazocepu;Female;Tamer;Yadihozero Saj;Fatotedoy Tazocepu;Rujipegor
Laxeh Saj;Female;Wily;Wey Rep;Sule Saj;Rujipegor
Comili Saj;Female;Illusionist;Jatokozow Saj;Jaq Saj;Jiwudug
Sogem Nisosumi;Female;Warrior;Cigapep Tuhaq;Texa Nisosumi;Jiwudug
Kiramu Rep;Male;Shooter;Zajegohu Saj;Rigakij Rep;Jiwudug
Jaq Saj;Female;Runic;Jefed Rep;Solake Saj;Jiwudug
Nifolonu Nexewud;Male;Shooter;Muzosuhika Qelimu;Zupoluyi Nexewud;Jiwudug
